~0~,ua,UA-2708-EWR-CLT,Thu_ Dec 1 2:55 PM,Thu_ Dec 1 2:55 PM,A37,Thu_ Dec 1 4:53 PM,Thu_ Dec 1 4:44 PM,C5
37257,panynj,~AA-3-JFK-LAX~,12:00 PM_ Dec 17,12:13 PM_ Dec 17,~Terminal 8 - 39~,3:15 PM_ Dec 17,2:40 PM_ Dec 17,~Terminal 4 - 42B~
37258,gofox,~AA-3-JFK-LAX~,12:00 PM_ Dec 17,12:13 PM_ Dec 17,,3:15 PM_ Dec 17,2:40 PM_ Dec 17,
37259,foxbusiness,~AA-3-JFK-LAX~,12:00 PM_ Dec 17,12:13 PM_ Dec 17,~Terminal 8 - 39~,3:15 PM_ Dec 17,2:40 PM_ Dec 17,~Terminal 4 - 42B~
37260,allegiantair,~AA-3-JFK-LAX~,12:00 PM_ Dec 17,12:13 PM_ Dec 17,~Terminal 8 - 39~,3:15 PM_ Dec 17,2:40 PM_ Dec 17,~Terminal 4 - 42B~
37261,boston,~AA-3-JFK-LAX~,12:00 PM_ Dec 17,12:13 PM_ Dec 17,,3:15 PM_ Dec 17,2:33 PM_ Dec 17,
37262,orbitz,~AA-3-JFK-LAX~,12:00pDec 17,11:57aDec 17,39,3:15pDec 17,2:40pDec 17,42B
37263,weather,~AA-3-JFK-LAX~,2011-12-17 12:00 PM,2011-12-17 12:13 PM,,2011-12-17 03:15 PM,2011-12-17 02:38 PM,
37264,ifly,~AA-3-JFK-LAX~,2011-12-17 12:00 PM,2011-12-17 11:57 AM,,2011-12-17 3:15 PM,2011-12-17 2:40 PM,
37265,usatoday,~AA-3-JFK-LAX~,12:00 PM_ Dec 17,12:13 PM_ Dec 17,,3:15 PM_ Dec 17,2:33 PM_ Dec 17,
37266,flightwise,~AA-3-JFK-LAX~,2011-12-17 12:00PM EST,2011-12-17 12:11PM EST,39,2011-12-17 02:50PM PST,2011-12-17 02:32PM PST,42B
37267,flightarrival,~AA-3-JFK-LAX~,12:00 PM_ Dec 17,12:13 PM_ Dec 17,,3:15 PM_ Dec 17,2:33 PM_ Dec 17,
37281,flightview,AA-431-MIA-SFO,8:35 AM_ Dec 17,8:45 AM_ Dec 17,D22,11:50 AM_ Dec 17,11:11 AM_ Dec 17,~Terminal 2 - 57~
37282,panynj,AA-431-MIA-SFO,8:35 AM_ Dec 17,8:45 AM_ Dec 17,D22,11:50 AM_ Dec 17,11:11 AM_ Dec 17,~Terminal 2 - 57~
37284,foxbusiness,AA-431-MIA-SFO,8:35 AM_ Dec 17,8:45 AM_ Dec 17,D22,11:50 AM_ Dec 17,11:11 AM_ Dec 17,~Terminal 2 - 57~
37285,allegiantair,AA-431-MIA-SFO,8:35 AM_ Dec 17,8:45 AM_ Dec 17,D22,11:50 AM_ Dec 17,11:11 AM_ Dec 17,~Terminal 2 - 57~
37306,flightview,CO-1586-IAH-MCO,7:00 PM_ Dec 17,7:12 PM_ Dec 17,~Term C - E17~,10:15 PM_ Dec 17,10:02 PM_ Dec 17,Term B - 39
37307,panynj,CO-1586-IAH-MCO,7:00 PM_ Dec 17,7:12 PM_ Dec 17,~Term C - E17~,10:15 PM_ Dec 17,10:02 PM_ Dec 17,Term B - 39
37309,foxbusiness,CO-1586-IAH-MCO,7:00 PM_ Dec 17,7:12 PM_ Dec 17,~Term C - E17~,10:15 PM_ Dec 17,10:02 PM_ Dec 17,Term B - 39
37310,allegiantair,CO-1586-IAH-MCO,7:00 PM_ Dec 17,7:12 PM_ Dec 17,~Term C - E17~,10:15 PM_ Dec 17,10:02 PM_ Dec 17,Term B - 39
37333,flightview,AA-85-JFK-SFO,3:05 PM_ Dec 17,3:32 PM_ Dec 17,~Terminal 8 - 41~,6:30 PM_ Dec 17,6:15 PM_ Dec 17,~Terminal 2 - 58B~
37334,panynj,AA-85-JFK-SFO,3:05 PM_ Dec 17,3:32 PM_ Dec 17,~Terminal 8 - 41~,6:30 PM_ Dec 17,6:15 PM_ Dec 17,~Terminal 2 - 58B~
37336,foxbusiness,AA-85-JFK-SFO,3:05 PM_ Dec 17,3:32 PM_ Dec 17,~Terminal 8 - 41~,6:30 PM_ Dec 17,6:15 PM_ Dec 17,~Terminal 2 - 58B~
37337,allegiantair,AA-85-JFK-SFO,3:05 PM_ Dec 17,3:32 PM_ Dec 17,~Terminal 8 - 41~,6:30 PM_ Dec 17,6:15 PM_ Dec 17,~Terminal 2 - 58B~
37412,flightview,AA-204-LAX-MCO,11:25 PM_ Dec 17,,~Terminal 4 - 47B~,6:55 AM_ Dec 18,,TBA
37413,panynj,AA-204-LAX-MCO,11:25 PM_ Dec 17,,~Terminal 4 - 47B~,6:55 AM_ Dec 18,,TBA
37415,foxbusiness,AA-204-LAX-MCO,11:25 PM_ Dec 17,,~Terminal 4 - 47B~,6:55 AM_ Dec 18,,TBA
37416,allegiantair,AA-204-LAX-MCO,11:25 PM_ Dec 17,,~Terminal 4 - 47B~,6:55 AM_ Dec 18,,TBA
37439,flightview,AA-4277-CVG-JFK,12:10 PM_ Dec 17,12:11 PM_ Dec 17,Terminal 2,2:15 PM_ Dec 17,1:48 PM_ Dec 17,~Terminal 8 - 31C~
37440,panynj,AA-4277-CVG-JFK,12:10 PM_ Dec 17,12:11 PM_ Dec 17,Terminal 2,2:15 PM_ Dec 17,1:48 PM_ Dec 17,~Terminal 8 - 31C~
37442,foxbusiness,AA-4277-CVG-JFK,12:10 PM_ Dec 17,12:11 PM_ Dec 17,Terminal 2,2:15 PM_ Dec 17,1:48 PM_ Dec 17,~Terminal 8 - 31C~
37443,allegiantair,AA-4277-CVG-JFK,12:10 PM_ Dec 17,12:11 PM_ Dec 17,Terminal 2,2:15 PM_ Dec 17,1:48 PM_ Dec 17,~Terminal 8 - 31C~
37510,flightview,AA-1917-JFK-MCO,2:55 PM_ Dec 17,4:38 PM_ Dec 17,~Terminal 8 - 8~,5:55 PM_ Dec 17,6:56 PM_ Dec 17,16
37511,panynj,AA-1917-JFK-MCO,2:55 PM_ Dec 17,4:38 PM_ Dec 17,~Terminal 8 - 8~,5:55 PM_ Dec 17,6:56 PM_ Dec 17,16
37513,foxbusiness,AA-1917-JFK-MCO,2:55 PM_ Dec 17,4:38 PM_ Dec 17,~Terminal 8 - 8~,5:55 PM_ Dec 17,6:56 PM_ Dec 17,16
37514,allegiantair,AA-1917-JFK-MCO,2:55 PM_ Dec 17,4:38 PM_ Dec 17,~Terminal 8 - 8~,5:55 PM_ Dec 17,6:56 PM_ Dec 17,16
37767,travelocity,UA-2708-EWR-CLT,Dec 18 - 2:55pm,Dec 18 - Contact Airline,~Not provided by airline~,Dec 18 - 4:53pm,Dec 18 - Contact Airline,~Not provided by airline~
37810,flightview,AA-649-ORD-SNA,1:30 PM_ Dec 18,,H10,3:50 PM_ Dec 18,,~Terminal A - 7~
37811,panynj,AA-649-ORD-SNA,1:30 PM_ Dec 18,,H10,3:50 PM_ Dec 18,,~Terminal A - 7~
37813,foxbusiness,AA-649-ORD-SNA,1:30 PM_ Dec 18,,H10,3:50 PM_ Dec 18,,~Terminal A - 7~
37814,allegiantair,AA-649-ORD-SNA,1:30 PM_ Dec 18,,H10,3:50 PM_ Dec 18,,~Terminal A - 7~
37945,flightview,AA-222-LAX-BOS,7:10 AM_ Dec 18,7:22 AM_ Dec 18,~Terminal 4 - 45~,3:30 PM_ Dec 18,3:23 PM_ Dec 18,~Terminal B - B36~
37946,panynj,AA-222-LAX-BOS,7:10 AM_ Dec 18,7:22 AM_ Dec 18,~Terminal 4 - 45~,3:30 PM_ Dec 18,3:23 PM_ Dec 18,~Terminal B - B36~
37948,foxbusiness,AA-222-LAX-BOS,7:10 AM_ Dec 18,7:22 AM_ Dec 18,~Terminal 4 - 45~,3:30 PM_ Dec 18,3:23 PM_ Dec 18,~Terminal B - B36~
37949,allegiantair,AA-222-LAX-BOS,7:10 AM_ Dec 18,7:22 AM_ Dec 18,~Terminal 4 - 45~,3:30 PM_ Dec 18,3:23 PM_ Dec 18,~Terminal B - B36~
37969,flightview,AA-3468-CVG-MIA,7:00 AM_ Dec 18,7:17 AM_ Dec 18,Terminal 2,9:55 AM_ Dec 18,9:40 AM_ Dec 18,~Terminal D - D60~
37970,panynj,AA-3468-CVG-MIA,7:00 AM_ Dec 18,7:17 AM_ Dec 18,Terminal 2,9:55 AM_ Dec 18,9:40 AM_ Dec 18,~Terminal D - D60~
37972,foxbusiness,AA-3468-CVG-MIA,7:00 AM_ Dec 18,7:17 AM_ Dec 18,Terminal 2,9:55 AM_ Dec 18,9:40 AM_ Dec 18,~Terminal D - D60~
37973,allegiantair,AA-3468-CVG-MIA,7:00 AM_ Dec 18,7:17 AM_ Dec 18,Terminal 2,9:55 AM_ Dec 18,9:40 AM_ Dec 18,~Terminal D - D60~
37975,travelocity,AA-3468-CVG-MIA,Dec 18 - 7:00am,Dec 18 - 6:53am,1,Dec 18 - 9:55am,Dec 18 - 9:40am,~Not provided by airline~
37978,mytripandmore,AA-3468-CVG-MIA,Dec 18 - 7:00am,Dec 18 - 6:53am,1,Dec 18 - 9:55am,Dec 18 - 9:40am,~Not provided by airline~
38020,flightview,AA-518-MIA-JFK,6:30 AM_ Dec 18,6:44 AM_ Dec 18,~Terminal D - D16~,9:15 AM_ Dec 18,9:19 AM_ Dec 18,~Terminal 8 - 4~
38021,panynj,AA-518-MIA-JFK,6:30 AM_ Dec 18,6:44 AM_ Dec 18,~Terminal D - D16~,9:15 AM_ Dec 18,9:19 AM_ Dec 18,~Terminal 8 - 4~
38023,foxbusiness,AA-518-MIA-JFK,6:30 AM_ Dec 18,6:44 AM_ Dec 18,~Terminal D - D16~,9:15 AM_ Dec 18,9:19 AM_ Dec 18,~Terminal 8 - 4~
38024,allegiantair,AA-518-MIA-JFK,6:30 AM_ Dec 18,6:44 AM_ Dec 18,~Terminal D - D16~,9:15 AM_ Dec 18,9:19 AM_ Dec 18,~Terminal 8 - 4~
38111,travelocity,UA-37-EDI-EWR,Dec 18 - 9:05am,Dec 18 - Contact Airline,~Not provided by airline~,Dec 18 - 11:53am,Dec 18 - Contact Airline,~Not provided by airline~
38115,mytripandmore,UA-37-EDI-EWR,Dec 18 - 9:05am,Dec 18 - Contact Airline,~Not provided by airline~,Dec 18 - 11:53am,Dec 18 - Contact Airline,~Not provided by airline~
38135,travelocity,UA-3050-PHX-CLT,Dec 18 - 11:05am,Dec 18 - Contact Airline,~Not provided by airline~,Dec 18 - 4:57pm,Dec 18 - Contact Airline,~Not provided by airline~
38160,travelocity,UA-3099-PHX-PHL,Dec 18 - 11:55am,Dec 18 - Contact Airline,~Not provided by airline~,Dec 18 - 6:17pm,Dec 18 - Contact Airline,~Not provided by airline~
38223,travelocity,UA-2945-PHL-CLT,Dec 18 - 12:00noon,Dec 18 - Contact Airline,~Not provided by airline~,Dec 18 - 1:45pm,Dec 18 - Contact Airline,~Not provided by airline~
38316,flightview,AA-466-IAH-MIA,6:00 AM_ Dec 18,6:17 AM_ Dec 18,A27,9:20 AM_ Dec 18,9:22 AM_ Dec 18,~Terminal D - D2~
38317,panynj,AA-466-IAH-MIA,6:00 AM_ Dec 18,6:17 AM_ Dec 18,A27,9:20 AM_ Dec 18,9:22 AM_ Dec 18,~Terminal D - D2~
38319,foxbusiness,AA-466-IAH-MIA,6:00 AM_ Dec 18,6:17 AM_ Dec 18,A27,9:20 AM_ Dec 18,9:22 AM_ Dec 18,~Terminal D - D2~
38320,allegiantair,AA-466-IAH-MIA,6:00 AM_ Dec 18,6:17 AM_ Dec 18,A27,9:20 AM_ Dec 18,9:22 AM_ Dec 18,~Terminal D - D2~
38348,travelocity,UA-2906-PHL-MCO,Dec 18 - 3:50pm,Dec 18 - Contact Airline,~Not provided by airline~,Dec 18 - 6:23pm,Dec 18 - Contact Airline,~Not provided by airline~
38370,travelocity,UA-2830-MCO-CLT,Dec 18 - 3:27pm,Dec 18 - Contact Airline,~Not provided by airline~,Dec 18 - 5:05pm,Dec 18 - Contact Airline,~Not provided by airline~
38426,travelocity,UA-62-IAH-EWR,Dec 18 - 2:30pm,Dec 18 - Contact Airline,~Not provided by airline~,Dec 18 - 6:59pm,Dec 18 - Contact Airline,~Not provided by airline~
38522,flightview,AA-2050-ORD-MIA,10:40 AM_ Dec 18,12:58 PM_ Dec 18,K15,2:45 PM_ Dec 18,4:18 PM_ Dec 18,~Terminal D - D40~
38523,panynj,AA-2050-ORD-MIA,10:40 AM_ Dec 18,12:58 PM_ Dec 18,K15,2:45 PM_ Dec 18,4:18 PM_ Dec 18,~Terminal D - D40~
38525,foxbusiness,AA-2050-ORD-MIA,10:40 AM_ Dec 18,12:58 PM_ Dec 18,K15,2:45 PM_ Dec 18,4:18 PM_ Dec 18,~Terminal D - D40~
38526,allegiantair,AA-2050-ORD-MIA,10:40 AM_ Dec 18,12:58 PM_ Dec 18,K15,2:45 PM_ Dec 18,4:18 PM_ Dec 18,~Terminal D - D40~
38571,flightview,AA-59-JFK-SFO,7:10 AM_ Dec 18,8:38 AM_ Dec 18,~Terminal 8 - 44~,10:45 AM_ Dec 18,4:33 AM_ Dec 18,~Terminal 2 - 58B~
38572,panynj,AA-59-JFK-SFO,7:10 AM_ Dec 18,8:38 AM_ Dec 18,~Terminal 8 - 44~,10:45 AM_ Dec 18,4:33 AM_ Dec 18,~Terminal 2 - 58B~
38574,foxbusiness,AA-59-JFK-SFO,7:10 AM_ Dec 18,8:38 AM_ Dec 18,~Terminal 8 - 44~,10:45 AM_ Dec 18,4:33 AM_ Dec 18,~Terminal 2 - 58B~
38575,allegiantair,AA-59-JFK-SFO,7:10 AM_ Dec 18,8:38 AM_ Dec 18,~Terminal 8 - 44~,10:45 AM_ Dec 18,4:33 AM_ Dec 18,~Terminal 2 - 58B~
38618,flightview,AA-3823-LAX-DEN,9:00 PM_ Dec 18,,~Terminal 4 - 44J~,12:15 AM_ Dec 19,,A49
38619,panynj,AA-3823-LAX-DEN,9:00 PM_ Dec 18,,~Terminal 4 - 44J~,12:15 AM_ Dec 19,,A49
38621,foxbusiness,AA-3823-LAX-DEN,9:00 PM_ Dec 18,,~Terminal 4 - 44J~,12:15 AM_ Dec 19,,A49
38622,allegiantair,AA-3823-LAX-DEN,9:00 PM_ Dec 18,,~Terminal 4 - 44J~,12:15 AM_ Dec 19,,A49
38773,flightview,UA-397-JFK-SFO,8:25 AM_ Dec 18,8:44 AM_ Dec 18,9,12:14 PM_ Dec 18,11:39 AM_ Dec 18,~Terminal 3 - 81~
38774,panynj,UA-397-JFK-SFO,8:25 AM_ Dec 18,8:44 AM_ Dec 18,9,12:14 PM_ Dec 18,11:39 AM_ Dec 18,~Terminal 3 - 81~
38776,foxbusiness,UA-397-JFK-SFO,8:25 AM_ Dec 18,8:44 AM_ Dec 18,9,12:14 PM_ Dec 18,11:39 AM_ Dec 18,~Terminal 3 - 81~
38777,allegiantair,UA-397-JFK-SFO,8:25 AM_ Dec 18,8:44 AM_ Dec 18,9,12:14 PM_ Dec 18,11:39 AM_ Dec 18,~Terminal 3 - 81~
38846,flightview,AA-1221-MCO-ORD,8:00 PM_ Dec 18,8:05 PM_ Dec 18,~Terminal A - 14~,9:50 PM_ Dec 18,9:42 PM_ Dec 18,Terminal 3
38847,panynj,AA-1221-MCO-ORD,8:00 PM_ Dec 18,8:05 PM_ Dec 18,~Terminal A - 14~,9:50 PM_ Dec 18,9:42 PM_ Dec 18,Terminal 3
38849,foxbusiness,AA-1221-MCO-ORD,8:00 PM_ Dec 18,8:05 PM_ Dec 18,~Terminal A - 14~,9:50 PM_ Dec 18,9:42 PM_ Dec 18,Terminal 3
38850,allegiantair,AA-1221-MCO-ORD,8:00 PM_ Dec 18,8:05 PM_ Dec 18,~Terminal A - 14~,9:50 PM_ Dec 18,9:42 PM_ Dec 18,Terminal 3
38875,flightview,AA-271-MIA-LAX,11:35 AM_ Dec 18,11:51 AM_ Dec 18,D8,2:25 PM_ Dec 18,2:01 PM_ Dec 18,~Terminal 4 - 46B~
38876,panynj,AA-271-MIA-LAX,11:35 AM_ Dec 18,11:51 AM_ Dec 18,D8,2:25 PM_ Dec 18,2:01 PM_ Dec 18,~Terminal 4 - 46B~
38878,foxbusiness,AA-271-MIA-LAX,11:35 AM_ Dec 18,11:51 AM_ Dec 18,D8,2:25 PM_ Dec 18,2:01 PM_ Dec 18,~Terminal 4 - 46B~
38879,allegiantair,AA-271-MIA-LAX,11:35 AM_ Dec 18,11:51 AM_ Dec 18,D8,2:25 PM_ Dec 18,2:01 PM_ Dec 18,~Terminal 4 - 46B~
38968,flightview,AA-2525-DFW-MIA,7:25 AM_ Dec 18,7:35 AM_ Dec 18,A24,11:10 AM_ Dec 18,10:52 AM_ Dec 18,~Terminal D - D16~
38969,panynj,AA-2525-DFW-MIA,7:25 AM_ Dec 18,7:35 AM_ Dec 18,A24,11:10 AM_ Dec 18,10:52 AM_ Dec 18,~Terminal D - D16~
38971,foxbusiness,AA-2525-DFW-MIA,7:25 AM_ Dec 18,7:35 AM_ Dec 18,A24,11:10 AM_ Dec 18,10:52 AM_ Dec 18,~Terminal D - D16~
38972,allegiantair,AA-2525-DFW-MIA,7:25 AM_ Dec 18,7:35 AM_ Dec 18,A24,11:10 AM_ Dec 18,10:52 AM_ Dec 18,~Terminal D - D16~
38994,flightview,AA-1664-MIA-ATL,10:15 AM_ Dec 18,10:49 AM_ Dec 18,~Terminal D - D2~,12:10 PM_ Dec 18,12:20 PM_ Dec 18,T11
38995,panynj,AA-1664-MIA-ATL,10:15 AM_ Dec 18,10:49 AM_ Dec 18,~Terminal D - D2~,12:10 PM_ Dec 18,12:20 PM_ Dec 18,T11
38997,foxbusiness,AA-1664-MIA-ATL,10:15 AM_ Dec 18,10:49 AM_ Dec 18,~Terminal D - D2~,12:10 PM_ Dec 18,12:20 PM_ Dec 18,T11
38998,allegiantair,AA-1664-MIA-ATL,10:15 AM_ Dec 18,10:49 AM_ Dec 18,~Terminal D - D2~,12:10 PM_ Dec 18,12:20 PM_ Dec 18,T11
39039,flightview,AA-484-DFW-MIA,4:15 PM_ Dec 18,4:31 PM_ Dec 18,D17,7:55 PM_ Dec 18,8:09 PM_ Dec 18,~Terminal D - D48~
39040,panynj,AA-484-DFW-MIA,4:15 PM_ Dec 18,4:31 PM_ Dec 18,D17,7:55 PM_ Dec 18,8:09 PM_ Dec 18,~Terminal D - D48~
39042,foxbusiness,AA-484-DFW-MIA,4:15 PM_ Dec 18,4:31 PM_ Dec 18,D17,7:55 PM_ Dec 18,8:09 PM_ Dec 18,~Terminal D - D48~
39043,allegiantair,AA-484-DFW-MIA,4:15 PM_ Dec 18,4:31 PM_ Dec 18,D17,7:55 PM_ Dec 18,8:09 PM_ Dec 18,~Terminal D - D48~
39074,travelocity,CO-1694-LAX-IAH,Dec 18 - 7:41pm,Dec 18 - Not Available,64,Dec 19 - 12:44am,Dec 19 - Not Available,~Not provided by airline~
39121,flightview,UA-2726-FLL-PHL,4:00 PM_ Dec 18,4:09 PM_ Dec 18,~Terminal 3 - E3~,6:46 PM_ Dec 18,6:46 PM_ Dec 18,C20
39122,panynj,UA-2726-FLL-PHL,4:00 PM_ Dec 18,4:09 PM_ Dec 18,~Terminal 3 - E3~,6:46 PM_ Dec 18,6:46 PM_ Dec 18,C20
39124,foxbusiness,UA-2726-FLL-PHL,4:00 PM_ Dec 18,4:09 PM_ Dec 18,~Terminal 3 - E3~,6:46 PM_ Dec 18,6:46 PM_ Dec 18,C20
39125,allegiantair,UA-2726-FLL-PHL,4:00 PM_ Dec 18,4:09 PM_ Dec 18,~Terminal 3 - E3~,6:46 PM_ Dec 18,6:46 PM_ Dec 18,C20
39127,travelocity,UA-2726-FLL-PHL,Dec 18 - 4:00pm,Dec 18 - Contact Airline,~Not provided by airline~,Dec 18 - 6:46pm,Dec 18 - Contact Airline,~Not provided by airline~
39146,flightview,AA-3809-PHX-LAX,6:00 AM_ Dec 18,6:08 AM_ Dec 18,~Terminal 3 - 2~,6:40 AM_ Dec 18,6:17 AM_ Dec 18,~Terminal 4 - 44I~
39147,panynj,AA-3809-PHX-LAX,6:00 AM_ Dec 18,6:08 AM_ Dec 18,~Terminal 3 - 2~,6:40 AM_ Dec 18,6:17 AM_ Dec 18,~Terminal 4 - 44I~
39149,foxbusiness,AA-3809-PHX-LAX,6:00 AM_ Dec 18,6:08 AM_ Dec 18,~Terminal 3 - 2~,6:40 AM_ Dec 18,6:17 AM_ Dec 18,~Terminal 4 - 44I~
39150,allegiantair,AA-3809-PHX-LAX,6:00 AM_ Dec 18,6:08 AM_ Dec 18,~Terminal 3 - 2~,6:40 AM_ Dec 18,6:17 AM_ Dec 18,~Terminal 4 - 44I~
39212,flightview,AA-1165-JFK-MIA,6:59 AM_ Dec 18,7:20 AM_ Dec 18,~Terminal 8 - 40~,10:34 AM_ Dec 18,9:51 AM_ Dec 18,~Terminal D - D14~
39213,panynj,AA-1165-JFK-MIA,6:59 AM_ Dec 18,7:20 AM_ Dec 18,~Terminal 8 - 40~,10:34 AM_ Dec 18,9:51 AM_ Dec 18,~Terminal D - D14~
39215,foxbusiness,AA-1165-JFK-MIA,6:59 AM_ Dec 18,7:20 AM_ Dec 18,~Terminal 8 - 40~,10:34 AM_ Dec 18,9:51 AM_ Dec 18,~Terminal D - D14~
39216,allegiantair,AA-1165-JFK-MIA,6:59 AM_ Dec 18,7:20 AM_ Dec 18,~Terminal 8 - 40~,10:34 AM_ Dec 18,9:51 AM_ Dec 18,~Terminal D - D14~
39333,flightview,AA-400-DFW-JFK,10:40 AM_ Dec 18,10:58 AM_ Dec 18,A37,2:59 PM_ Dec 18,3:01 PM_ Dec 18,~Terminal 8 - 36~
39334,panynj,AA-400-DFW-JFK,10:40 AM_ Dec 18,10:58 AM_ Dec 18,A37,2:59 PM_ Dec 18,3:01 PM_ Dec 18,~Terminal 8 - 36~
39336,foxbusiness,AA-400-DFW-JFK,10:40 AM_ Dec 18,10:58 AM_ Dec 18,A37,2:59 PM_ Dec 18,3:01 PM_ Dec 18,~Terminal 8 - 36~
39337,allegiantair,AA-400-DFW-JFK,10:40 AM_ Dec 18,10:58 AM_ Dec 18,A37,2:59 PM_ Dec 18,3:01 PM_ Dec 18,~Terminal 8 - 36~
39362,flightview,AA-643-MIA-ORD,7:10 AM_ Dec 18,9:51 AM_ Dec 18,~Terminal D - D22~,9:35 AM_ Dec 18,11:43 AM_ Dec 18,K19
39363,panynj,AA-643-MIA-ORD,7:10 AM_ Dec 18,9:51 AM_ Dec 18,~Terminal D - D22~,9:35 AM_ Dec 18,11:43 AM_ Dec 18,K19
39365,foxbusiness,AA-643-MIA-ORD,7:10 AM_ Dec 18,9:51 AM_ Dec 18,~Terminal D - D22~,9:35 AM_ Dec 18,11:43 AM_ Dec 18,K19
39366,allegiantair,AA-643-MIA-ORD,7:10 AM_ Dec 18,9:51 AM_ Dec 18,~Terminal D - D22~,9:35 AM_ Dec 18,11:43 AM_ Dec 18,K19
39435,flightview,UA-257-JFK-SFO,2:30 PM_ Dec 18,3:01 PM_ Dec 18,9,6:14 PM_ Dec 18,5:48 PM_ Dec 18,~Terminal 3 - 82~
39436,panynj,UA-257-JFK-SFO,2:30 PM_ Dec 18,3:01 PM_ Dec 18,9,6:14 PM_ Dec 18,5:48 PM_ Dec 18,~Terminal 3 - 82~
39438,foxbusiness,UA-257-JFK-SFO,2:30 PM_ Dec 18,3:01 PM_ Dec 18,9,6:14 PM_ Dec 18,5:48 PM_ Dec 18,~Terminal 3 - 82~
39439,allegiantair,UA-257-JFK-SFO,2:30 PM_ Dec 18,3:01 PM_ Dec 18,9,6:14 PM_ Dec 18,5:48 PM_ Dec 18,~Terminal 3 - 82~
39561,flightview,AA-1522-SFO-ORD,11:55 PM_ Dec 18,,~Terminal 2 - 56B~,5:50 AM_ Dec 19,,~Terminal 3 - H10~
39562,panynj,AA-1522-SFO-ORD,11:55 PM_ Dec 18,,~Terminal 2 - 56B~,5:50 AM_ Dec 19,,~Terminal 3 - H10~
39564,foxbusiness,AA-1522-SFO-ORD,11:55 PM_ Dec 18,,~Terminal 2 - 56B~,5:50 AM_ Dec 19,,~Terminal 3 - H10~
39565,allegiantair,AA-1522-SFO-ORD,11:55 PM_ Dec 18,,~Terminal 2 - 56B~,5:50 AM_ Dec 19,,~Terminal 3 - H10~
39614,flightview,AA-404-MIA-MCO,6:45 AM_ Dec 18,7:00 AM_ Dec 18,~Terminal E - E5~,7:45 AM_ Dec 18,7:36 AM_ Dec 18,15
39615,panynj,AA-404-MIA-MCO,6:45 AM_ Dec 18,7:00 AM_ Dec 18,~Terminal E - E5~,7:45 AM_ Dec 18,7:36 AM_ Dec 18,15
39617,foxbusiness,AA-404-MIA-MCO,6:45 AM_ Dec 18,7:00 AM_ Dec 18,~Terminal E - E5~,7:45 AM_ Dec 18,7:36 AM_ Dec 18,15
39618,allegiantair,AA-404-MIA-MCO,6:45 AM_ Dec 18,7:00 AM_ Dec 18,~Terminal E - E5~,7:45 AM_ Dec 18,7:36 AM_ Dec 18,15
39642,flightview,CO-1193-EWR-MCO,9:20 AM_ Dec 18,9:59 AM_ Dec 18,~Term C - C96~,12:19 PM_ Dec 18,12:17 PM_ Dec 18,Term B - 39
39643,panynj,CO-1193-EWR-MCO,9:20 AM_ Dec 18,9:59 AM_ Dec 18,~Term C - C96~,12:19 PM_ Dec 18,12:17 PM_ Dec 18,Term B - 39
39645,foxbusiness,CO-1193-EWR-MCO,9:20 AM_ Dec 18,9:59 AM_ Dec 18,~Term C - C96~,12:19 PM_ Dec 18,12:17 PM_ Dec 18,Term B - 39
39646,allegiantair,CO-1193-EWR-MCO,9:20 AM_ Dec 18,9:59 AM_ Dec 18,~Term C - C96~,12:19 PM_ Dec 18,12:17 PM_ Dec 18,Term B - 39
39687,travelocity,UA-2314-ATL-PHL,Dec 18 - 2:55pm,Dec 18 - Contact Airline,~Not provided by airline~,Dec 18 - 5:00pm,Dec 18 - Contact Airline,~Not provided by airline~
39775,aa,~AA-3-JFK-LAX~,December 18_ 2011               12:00 PM,December 18_ 2011               11:55 AM,42,December 18_ 2011               03:15 PM,December 18_ 2011               03:07 PM,46A
39776,flightexplorer,~AA-3-JFK-LAX~,,12/18/2011 12:15PM EST,,,12/18/2011 2:50PM PST,
39777,airtravelcenter,~AA-3-JFK-LAX~,,12/18/11 12:15 PM (-05:00),,,12/18/11 2:50 PM (-08:00),
39778,myrateplan,~AA-3-JFK-LAX~,,12/18/11 12:15 PM (-05:00),,,12/18/11 2:50 PM (-08:00),
39779,helloflight,~AA-3-JFK-LAX~,,12/18/11 12:15 PM (-05:00),,,12/18/11 2:50 PM (-08:00),
39780,flytecomm,~AA-3-JFK-LAX~,,12/18/11 12:15 PM (-05:00),,,12/18/11 2:50 PM (-08:00),
39781,flightaware,~AA-3-JFK-LAX~,2011-12-18 12:00PM EST,2011-12-18 12:14PM EST,42,2011-12-18 02:56PM PST,2011-12-18 02:50PM PST,46A
39782,wunderground,~AA-3-JFK-LAX~,2011-12-18 12:00PM EST,2011-12-18 12:14PM EST,42,2011-12-18 02:56PM PST,2011-12-18 02:50PM PST,46A
39783,flights,~AA-3-JFK-LAX~,12:00 PM  Sun 18-Dec-2011,11:55 AM  Sun 18-Dec-2011,C42,03:15 PM  Sun 18-Dec-2011,03:07 PM  Sun 18-Dec-2011,46A
39784,businesstravellogue,~AA-3-JFK-LAX~,12:00 PM  Sun 18-Dec-2011,11:55 AM  Sun 18-Dec-2011,C42,03:15 PM  Sun 18-Dec-2011,03:07 PM  Sun 18-Dec-2011,46A
39785,flylouisville,~AA-3-JFK-LAX~,12:00 PM  Sun 18-Dec-2011,11:55 AM  Sun 18-Dec-2011,C42,03:15 PM  Sun 18-Dec-2011,03:07 PM  Sun 18-Dec-2011,46A
